,time,open,high,low,close,volume,BBANDS_upperband,BBANDS_middleband,BBANDS_lowerband,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,SMA,T3,TEMA,TRIMA,WMA,LINEARREG,LINEARREG_INTERCEPT,AD,ADOSC,APO,HT_PHASOR_inphase,HT_PHASOR_quadrature,LINEARREG_SLOPE,MACD_macd,MACD_macdsignal,MACD_macdhist,MINUS_DM,MOM,OBV,PLUS_DM,STDDEV,TRANGE,ADX,ADXR,AROON_aroondown,AROON_aroonup,AROONOSC,BOP,CCI,DX,MFI,MINUS_DI,PLUS_DI,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,TRIX,ULTOSC,WILLR,ATR,NATR,HT_DCPERIOD,HT_DCPHASE,HT_SINE_sine,HT_SINE_leadsine,HT_TRENDMODE,BETA,CORREL,LINEARREG_ANGLE,buy_price,sell_price,buy_fep,buy_fet,sell_fep,sell_fet,buy_executed,sell_executed,y_buy,y_sell,buy_cost,sell_cost,y_pred_buy,y_pred_sell,cum_ret,poss,MARUBOZU,HAMMER,DOJI
176,2021-06-26 07:00:00,280.89,290.33,264.26,279.65,2263064.3633,,,,,,,,,,,,,,,,,1462.0491010693277,,,,,,,,,,,8092.488336492043,,,,,,,,,-0.04756425009589603,,,,,,,,,,,,,,,,,,,,,,0,,,,258.65,300.65,284.71,5.0,310.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034228842392231685,0.019021090857318217,0.0,0.0,0,0,0
177,2021-06-27 07:00:00,279.58,291.7,269.72,290.87,1539903.0268,,,,,,,,,,,,,,,,,6299.950662346147,,,,,,,,,,,13074.457283666243,,,0.07556640423556903,,,,,,0.5136487716105569,,,,,,,,,,,,,,,,,,,,,,0,,,,269.87,311.87,284.71,4.0,310.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00972057947689316,0.003050233918894638,0.0,0.0,0,0,0
178,2021-06-28 07:00:00,290.89,299.96,283.55,290.0,1884580.1557,,,,,,,,,,,,,,,,,4928.849390857803,,,,,,,,,,,6615.128394482758,,,0.05658620689655162,,,,,,-0.05423522242534967,,,,,,,,,,,,,,,,,,,,,,0,,,,270.0,310.0,284.71,3.0,310.0,1.0,0.0,1.0,0.0,0.08198064516129037,0.0,-0.06916551724137923,0.011105148614173579,0.013538849284320984,0.031958620689654965,-1.0,0,0,0
179,2021-06-29 07:00:00,290.0,315.6,289.19,300.79,2126079.3416,,,,,,,,,,,,,,,,,3892.9229279853193,,,,,,,,,,,13446.147066059375,,,0.08780212108115304,,,,,,0.4085573646346085,,,,,,,,,,,,,,,,,,,,,,0,,,,281.79,319.79,284.71,2.0,318.02,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007592060153190029,0.021041245764227973,0.02225085114944439,-1.0,0,0,0
180,2021-06-30 07:00:00,300.79,304.88,281.53,303.71,2061866.47,0.05576768432525008,-0.0006618155477263343,-0.057091315420702754,,,,,,,,,,,,,,9964.079540831584,,,,,,,,,,,20105.801738500544,,0.028214749936488173,0.07688255243488863,,,,,,0.12505353319057627,,,,,,,,,,,,,,,,,,,,,,0,,,,284.71,322.71,284.71,1.0,318.02,6.0,1.0,0.0,0.11739624178989154,0.0,-0.0627596786408087,0.0,0.017894075299781334,-0.0037453655049530525,0.09416644167988472,1.0,0,0,0
181,2021-07-01 07:00:00,303.75,304.0,281.0,287.43,1388151.0265,0.05202258195765841,0.007166962390842996,-0.03768865717597242,,,,,,,,,,,,,,8399.252193009883,,,,,,,,,,,16415.064605295203,,0.022427809783407686,0.08001948300455763,,,,,,-0.7095652173913041,,,,,,,,,,,,,,,,,,,,,,0,0.679225705948281,,,269.43,305.43,291.62,4.0,318.02,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01638072705690662,-0.01937707296386652,0.09326187361113755,1.0,0,0,0
182,2021-07-02 07:00:00,287.49,290.74,276.4,287.17,1003331.2269,0.0845481172090943,0.03569314343420273,-0.013161830340688832,,,,,,,,,,,,,,10161.09513734015,,,,,,,,,,,12936.068505066685,,0.024427486887445754,0.04993557822892374,,,,,,-0.0223152022315197,,,,,,,,,27.474489795918434,47.63861910347837,,,,,,,,,,,,0,0.6238806239588399,,,270.17,304.17,291.62,3.0,318.02,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0049128944929925245,-0.015040998107914205,0.1314274201515143,1.0,0,0,0
183,2021-07-03 07:00:00,287.17,303.21,282.77,298.13,1016731.5662,0.05440527948928134,0.008238016972461735,-0.03792924554435787,,,,,,,,,,,,,,11502.740444169018,,,,,,,,,,,15870.869616610205,,0.023083631258409763,0.06856069499882601,,,,,,0.5362035225048914,,,,,,,,,55.433673469387735,40.50295357899045,,,,,,,,,,,,0,0.4815014279250756,,,281.13,315.13,291.62,2.0,318.02,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017515421045002633,-0.02250206954232355,0.16325917140096932,1.0,0,0,0
184,2021-07-04 07:00:00,298.18,314.91,292.58,307.62,1309414.0255,0.03163407022103241,-0.022537546323385973,-0.07670916286780435,,,,,,,,,,,,,,12625.206579294638,,,,,,,,,,,19637.853144463952,,0.027085808272209154,0.07258955854625851,,,,,,0.4227496641289736,,,,,,,54.65933841726772,47.60030369991218,81.06985198649699,54.65933841726772,,,,,,,,,,,,0,0.6168791697454895,,,291.62,323.62,291.62,1.0,318.02,2.0,1.0,0.0,0.09092877031753636,0.0,-0.05221222287237506,0.0,-0.003955021284281928,0.002702374080507544,0.145054893395638,1.0,0,0,0
185,2021-07-05 07:00:00,307.63,307.68,291.0,302.02,1403218.2408,0.04398908992022724,-0.009489437785577254,-0.06296796549138174,,,,,,,,,,,,,,14352.295552480044,3831.3118844718324,,,,,,,,,,15355.864325210256,,0.02673926385290225,0.05522813058737835,,,,,,-0.33633093525179925,,,,,,,67.6772333186715,54.27984177164323,66.52817450012977,67.6772333186715,,,,,,,,,,,,0,0.538317156146922,,,286.02,318.02,312.51,3.0,318.02,1.0,0.0,1.0,0.0,0.017725954342494177,0.0,-0.05317662406463144,0.006368564139455593,0.003336865853983922,0.19214054335259434,-1.0,0,0,0
