time,open,high,low,close,volume,BBANDS_upperband,BBANDS_middleband,BBANDS_lowerband,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,SMA,T3,TEMA,TRIMA,WMA,LINEARREG,LINEARREG_INTERCEPT,AD,ADOSC,APO,HT_PHASOR_inphase,HT_PHASOR_quadrature,LINEARREG_SLOPE,MACD_macd,MACD_macdsignal,MACD_macdhist,MINUS_DM,MOM,OBV,PLUS_DM,STDDEV,TRANGE,ADX,ADXR,AROON_aroondown,AROON_aroonup,AROONOSC,BOP,CCI,DX,MFI,MINUS_DI,PLUS_DI,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,TRIX,ULTOSC,WILLR,ATR,NATR,HT_DCPERIOD,HT_DCPHASE,HT_SINE_sine,HT_SINE_leadsine,HT_TRENDMODE,BETA,CORREL,LINEARREG_ANGLE,mytarget
2022-01-01 07:00:00,46216.93,46949.99,46208.37,46813.2,3495.20465,,,,,,,,,,,,,,,,,0.04712005814605834,,,,,,,,,,,0.07466280130390575,,,,,,,,,0.8040101399638636,,,,,,,,,,,,,,,,,,,,,,0,,,,2.0
2022-01-01 11:00:00,46813.21,47555.55,46591.23,47194.73,3522.79888,,,,,,,,,,,,,,,,,0.06552395690874722,,,,,,,,,,,0.14870311854734627,,,0.02043278984751051,,,,,,0.3956363033018129,,,,,,,,,,,,,,,,,,,,,,0,,,,1.0
2022-01-01 15:00:00,47194.73,47344.69,46715.39,46758.87,2729.67811,,,,,,,,,,,,,,,,,0.015823921601977868,,,,,,,,,,,0.09171148532887985,,,0.013458409067627231,,,,,,-0.6926108374384213,,,,,,,,,,,,,,,,,,,,,,0,,,,2.0
2022-01-01 19:00:00,46758.87,47491.14,46756.3,47219.04,3055.90946,,,,,,,,,,,,,,,,,0.03245947381083883,,,,,,,,,,,0.15553545518926262,,,0.015562366367465254,,,,,,0.6262179522072838,,,,,,,,,,,,,,,,,,,,,,0,,,,2.0
2022-01-01 23:00:00,47219.04,47954.63,47186.07,47329.78,4061.67681,-0.0009379528749872131,-0.010716846771736576,-0.020495740668485942,,,,,,,,,,,,,,-0.021340006158190695,,,,,,,,,,,0.24098805635690682,,0.004889446948374672,0.016238402122300117,,,,,,0.14408764442593722,,,,,,,,,,,,,,,,,,,,,,0,,,,2.0
2022-01-02 03:00:00,47329.79,47814.0,47222.22,47722.65,2739.19534,0.007192704112496351,-0.005722565699935041,-0.018637835512366432,,,,,,,,,,,,,,0.018513365752660185,,,,,,,,,,,0.2964023797924047,,0.006457634906215724,0.012400401067417648,,,,,,0.663861570178109,,,,,,,,,,,,,,,,,,,,,,0,0.4534318986954823,,,1.0
2022-01-02 07:00:00,47722.66,47750.0,47269.47,47329.47,2387.90724,0.008012117414123901,-0.0050237832792128945,-0.01805968397254969,,,,,,,,,,,,,,-0.01918639677850495,,,,,,,,,,,0.24841182016194138,,0.006517950346668393,0.010152870927986281,,,,,,-0.8182423573970476,,,,,,,,,49.55295180917359,65.5853166596553,,,,,,,,,,,,0,0.49446199114232353,,,1.0
2022-01-02 11:00:00,47329.47,47415.73,46770.23,47173.45,3018.46827,0.013770649124460585,0.005551809333427734,-0.0026670304576051186,,,,,,,,,,,,,,-0.003296325741427398,,,,,,,,,,,0.18524681828443756,,0.004109419895516431,0.013683544451381022,,,,,,-0.24170410534470035,,,,,,,,,34.81094523211437,55.783027046621754,,,,,,,,,,,,0,0.9917460772706774,,,0.0
2022-01-02 15:00:00,47173.44,47499.45,46970.05,47235.5,2119.84865,0.01072743973126192,0.0026128653237499546,-0.00550170908376201,,,,,,,,,,,,,,-0.003164837595248349,,,,,,,,,,,0.2298817662563115,,0.0040572872037560005,0.011207672195700145,,,,,,0.11722704948998555,,,,,,,41.21569279964577,54.194678835307606,39.28318135764936,41.21569279964577,,,,,,,,,,,,0,1.0609353244172737,,,0.0
2022-01-02 19:00:00,47238.89,47447.0,47013.5,47340.47,2780.32874,0.010832498621179519,0.0027472900036689535,-0.005337918613841612,,,,,,,,,,,,,,0.02670734257308833,-0.0029414651233585186,,,,,,,,,,0.2881025243306626,,0.004042604308755264,0.009157070050212851,,,,,,0.23432525951557495,,,,,,,42.90895073007707,46.635890192114864,54.63272560046751,42.90895073007707,,,,,,,,,,,,0,1.6797289451662492,,,0.0
